Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
CO1_OP10,M1,4,0,4,01-28-22,13,01-31-22,9
CO1_OP20,M2,4,1,1,01-31-22,9,01-31-22,14
CO1_OP30,M3,4,0,0,01-31-22,14,02-01-22,10
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
CO1_OP10,M1,4,0,4,01-31-22,9,01-31-22,13
CO1_OP20,M2,4,1,1,01-31-22,14,02-01-22,11
CO1_OP30,M3,4,0,0,02-01-22,11,02-01-22,15
CO1_OP10,M1,4,0,4,02-01-22,9,02-01-22,13
CO1_OP20,M2,4,1,1,02-01-22,13,02-02-22,10
CO1_OP30,M3,4,0,0,02-02-22,10,02-02-22,14
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
CO1_OP10,M1,4,0,4,01-28-22,13,01-31-22,9
CO1_OP20,M2,4,1,1,01-31-22,9,01-31-22,14
CO1_OP30,M3,4,0,0,01-31-22,14,02-01-22,10
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
CO1_OP10,M1,4,0,4,01-28-22,13,01-31-22,9
CO1_OP20,M2,4,1,1,01-31-22,9,01-31-22,14
CO1_OP30,M3,4,0,0,01-31-22,14,02-01-22,10
