Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
CO1_OP10,M1,4,5,5,01-03-22,13,01-04-22,14
CO1_OP20,M2,8,1,1,01-04-22,14,01-05-22,15
CO1_OP30,M3,3,0,0,01-05-22,15,01-06-22,10
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
CO1_OP10,M1,4,5,5,01-03-22,13,01-04-22,14
CO1_OP20,M2,8,1,1,01-04-22,14,01-05-22,15
CO1_OP30,M3,3,0,0,01-05-22,15,01-06-22,10
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
CO1_OP10,M1,4,0,4,01-03-22,9,01-03-22,13
CO1_OP20,M2,4,1,1,01-03-22,13,01-04-22,10
CO1_OP30,M3,4,0,0,01-04-22,10,01-04-22,14
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
CO1_OP10,M1,4,0,4,01-03-22,9,01-03-22,13
CO1_OP20,M2,4,1,1,01-03-22,13,01-04-22,10
CO1_OP30,M3,4,0,0,01-04-22,10,01-04-22,14
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
CO1_OP10,M1,4,0,4,01-03-22,9,01-03-22,13
CO1_OP20,M2,4,1,1,01-03-22,13,01-04-22,10
CO1_OP30,M3,4,0,0,01-04-22,10,01-04-22,14
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
CO1_OP10,M1,4,0,4,01-03-22,9,01-03-22,13
CO1_OP20,M2,4,1,1,01-03-22,13,01-04-22,10
CO1_OP30,M3,4,0,0,01-04-22,10,01-04-22,14
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
CO1_OP10,M1,4,0,4,01-03-22,8,01-03-22,12
CO1_OP20,M2,4,1,1,01-31-22,8,01-31-22,13
CO1_OP30,M3,4,0,0,01-31-22,13,02-01-22,9
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
CO1_OP10,M1,4,0,4,01-03-22,8,01-03-22,12
CO1_OP20,M2,4,1,1,01-31-22,8,01-31-22,13
CO1_OP30,M3,4,0,0,01-31-22,13,02-01-22,9
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
CO1_OP10,M1,4,0,4,01-03-22,8,01-03-22,12
CO1_OP20,M2,4,1,1,01-31-22,8,01-31-22,13
CO1_OP30,M3,4,0,0,01-31-22,13,02-01-22,9
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
CO1_OP10,M1,4,0,4,01-03-22,8,01-03-22,12
CO1_OP20,M2,4,1,1,01-31-22,8,01-31-22,13
CO1_OP30,M3,4,0,0,01-31-22,13,02-01-22,9
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
CO1_OP10,M1,4,0,900,01-03-22,8,01-03-22,12
CO1_OP20,M2,4,1,1,01-31-22,8,01-31-22,13
CO1_OP30,M3,4,0,0,01-31-22,13,02-01-22,9
Operation_name,machine_name,CycleTime(Hrs),MinDelay,MaxDelay,Start_date,start_time,end_date,end_time
CO1_OP10,M1,4,0,900,01-03-22,8,01-03-22,12
CO1_OP20,M2,4,1,1,01-31-22,8,01-31-22,13
CO1_OP30,M3,4,0,0,01-31-22,13,02-01-22,9
